iter	Passed	Remaining
0	0	93
1	1	96
2	3	99
3	4	96
4	4	92
5	5	90
6	6	90
7	7	88
8	8	85
9	9	83
10	10	82
11	11	81
12	11	79
13	12	78
14	13	76
15	14	75
16	15	74
17	16	74
18	17	73
19	17	71
20	19	72
21	20	71
22	21	70
23	21	69
24	22	67
25	23	66
26	24	65
27	25	65
28	26	64
29	26	62
30	27	62
31	28	61
32	29	60
33	30	59
34	32	59
35	33	58
36	34	57
37	35	57
38	35	56
39	36	55
40	37	54
41	38	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	52	36
59	53	35
60	54	35
61	56	34
62	57	33
63	58	32
64	58	31
65	59	30
66	60	29
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	84	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
